time,open,high,low,close,volume
2006-03-09,1245.188,1253.911,1240.751,1245.653,1538599936.0
2006-03-10,1245.1899,1253.91,1240.75,1245.65,1409600000.0
2006-03-13,1260.422,1262.752,1250.277,1259.0439,1377500032.0
2006-03-14,1259.231,1275.515,1258.146,1274.812,1487600000.0
2006-03-15,1274.615,1277.194,1270.8311,1274.1899,1845100032.0
2006-03-16,1273.01,1276.6281,1265.606,1269.462,1832300032.0
2006-03-17,1273.01,1276.63,1265.61,1269.46,1875500032.0
2006-03-20,1288.5551,1297.608,1285.431,1290.395,2029699968.0
2006-03-21,1289.4611,1296.912,1281.1281,1296.7061,2434599936.0
2006-03-22,1296.194,1302.791,1289.525,1302.457,2232999936.0
2006-03-23,1302.141,1308.057,1293.296,1294.704,2546500096.0
2006-03-24,1302.14,1308.0601,1293.3,1294.7,2442400000.0
2006-03-27,1295.76,1302.6479,1293.0,1298.791,2061299968.0
2006-03-28,1299.3831,1313.125,1296.59,1305.567,2501199872.0
2006-03-29,1305.843,1308.496,1293.829,1294.718,3415200000.0
2006-03-30,1291.5179,1298.751,1285.735,1298.295,2603899904.0
2006-03-31,1291.5179,1298.751,1285.735,1298.295,2663699968.0
2006-04-03,1298.684,1319.485,1298.684,1319.4709,3280499968.0
2006-04-04,1329.798,1329.798,1329.798,1329.798,3713400064.0
2006-04-05,1330.561,1341.504,1326.533,1340.162,3776300032.0
2006-04-06,1341.736,1348.52,1336.1379,1339.7371,4171500032.0
2006-04-07,1340.646,1345.291,1330.5129,1342.965,4066599936.0
2006-04-10,1344.239,1359.408,1339.5229,1359.0811,4141499904.0
2006-04-11,1360.978,1366.5229,1350.323,1362.229,4386999808.0
2006-04-12,1361.741,1364.691,1355.655,1360.132,3712900096.0
2006-04-13,1359.278,1364.316,1331.682,1332.33,4129900032.0
2006-04-14,1330.095,1360.094,1328.4351,1359.538,3787099904.0
2006-04-17,1360.644,1383.6541,1353.396,1378.614,4222000128.0
2006-04-18,1379.813,1391.3781,1370.153,1385.114,3678500096.0
2006-04-19,1389.134,1399.547,1378.796,1396.702,4057799936.0
2006-04-20,1398.098,1404.192,1376.9611,1385.9,4330299904.0
2006-04-21,1385.923,1419.891,1383.45,1416.793,4556899840.0
2006-04-24,1409.786,1409.786,1409.786,1409.786,5201600000.0
2006-04-25,1405.8979,1409.274,1386.126,1399.767,4324899840.0
2006-04-26,1399.068,1426.626,1397.349,1417.4771,4841099776.0
2006-04-27,1418.903,1424.465,1407.141,1416.7321,3760800000.0
2006-04-28,1403.5229,1444.714,1389.3459,1440.223,4456200192.0
2006-05-08,1446.9919,1497.202,1446.9919,1497.104,5162100224.0
2006-05-09,1503.239,1532.754,1497.994,1531.161,6468400128.0
2006-05-10,1537.561,1554.0341,1518.335,1545.687,6271699968.0
2006-05-11,1547.556,1583.761,1536.292,1537.377,7321800192.0
2006-05-12,1532.8781,1603.2111,1531.233,1602.832,6839399936.0
2006-05-15,1616.259,1664.938,1606.5699,1664.088,8772500480.0
2006-05-16,1658.692,1678.599,1604.7841,1613.251,8827499520.0
2006-05-17,1613.23,1640.6949,1592.1851,1625.146,7098100224.0
2006-05-18,1611.657,1630.073,1582.962,1617.281,6058500096.0
2006-05-19,1620.213,1664.614,1610.04,1659.545,7708599808.0
2006-05-22,1656.754,1674.2209,1646.683,1657.689,7725899776.0
2006-05-23,1647.962,1648.528,1597.1021,1604.552,6990000128.0
2006-05-24,1590.924,1590.924,1590.924,1590.924,5727000064.0
2006-05-25,1585.4659,1598.559,1563.863,1591.425,4104900096.0
2006-05-26,1596.5649,1614.553,1593.093,1613.894,4372299776.0
2006-05-29,1622.108,1648.838,1609.005,1648.538,5171500032.0
2006-05-30,1654.98,1663.929,1634.9,1657.288,5308800000.0
2006-05-31,1656.2841,1667.233,1628.679,1641.3,5701600256.0
2006-06-01,1639.673,1684.709,1635.746,1684.1949,6784399872.0
2006-06-02,1688.782,1695.58,1659.14,1669.399,7814499840.0
2006-06-05,1669.236,1685.292,1639.6801,1684.624,6729800192.0
2006-06-06,1681.22,1692.825,1672.814,1679.126,5842299904.0
2006-06-07,1678.238,1678.238,1588.9709,1589.545,6508499968.0
2006-06-08,1576.4351,1596.1219,1540.934,1591.49,5457699840.0
2006-06-09,1583.9561,1594.438,1550.202,1551.384,4700400128.0
2006-06-12,1540.2159,1566.447,1529.5031,1552.798,3149600000.0
2006-06-13,1552.098,1570.1,1532.059,1548.495,3245100032.0
2006-06-14,1540.635,1540.635,1512.521,1531.327,3243800064.0
2006-06-15,1531.2469,1551.3,1528.23,1533.98,2847300096.0
2006-06-16,1540.187,1574.475,1540.187,1574.467,3357299968.0
2006-06-19,1559.985,1591.85,1544.931,1586.286,3556199936.0
2006-06-20,1583.871,1592.832,1572.582,1592.332,3553700096.0
2006-06-21,1590.6071,1617.714,1570.083,1598.116,3970599936.0
2006-06-22,1593.097,1605.252,1587.799,1596.066,3246599936.0
2006-06-23,1594.495,1608.108,1582.019,1605.7111,3502700032.0
2006-06-26,1607.786,1635.803,1607.786,1633.449,3949900032.0
2006-06-27,1636.703,1642.571,1627.592,1639.551,3645199872.0
2006-06-28,1638.23,1642.354,1627.068,1639.286,3322099968.0
2006-06-29,1641.928,1672.101,1641.928,1671.618,5179899904.0
2006-06-30,1679.724,1690.953,1662.28,1672.2111,4983699968.0
2006-07-03,1677.311,1697.83,1670.016,1697.282,4863699968.0
2006-07-04,1700.323,1702.658,1670.13,1681.547,5431600128.0
2006-07-05,1755.222,1757.472,1703.585,1718.5551,6072099840.0
2006-07-06,1715.2791,1742.204,1711.651,1741.47,5006300160.0
2006-07-07,1746.521,1750.028,1724.675,1730.1899,4943000064.0
2006-07-10,1730.698,1737.031,1715.828,1734.329,3904999936.0
2006-07-11,1736.986,1746.724,1725.231,1745.806,4008499968.0
2006-07-12,1745.8781,1753.275,1737.999,1740.0,4878600192.0
2006-07-13,1736.207,1737.595,1654.486,1655.7729,6747200000.0
2006-07-14,1641.1379,1676.754,1633.8979,1665.208,4158799872.0
2006-07-17,1662.047,1684.344,1653.603,1682.887,3220400128.0
2006-07-18,1682.36,1684.672,1666.311,1684.252,3140499968.0
2006-07-19,1681.771,1681.771,1637.486,1645.16,3505999872.0
2006-07-20,1642.624,1658.054,1636.259,1655.1219,2866099968.0
2006-07-21,1653.811,1669.288,1653.507,1665.328,2996000000.0
2006-07-24,1648.749,1667.6169,1632.687,1665.944,3118400000.0
2006-07-25,1668.1379,1690.613,1668.1379,1685.4611,3423800064.0
2006-07-26,1688.538,1691.429,1675.662,1686.6541,3116699904.0
2006-07-27,1685.347,1701.611,1665.386,1675.168,3620199936.0
2006-07-28,1674.4301,1678.527,1646.3459,1662.031,3326899968.0
2006-07-31,1659.535,1659.535,1611.163,1612.733,3365400064.0
2006-08-01,1600.614,1600.614,1600.614,1600.614,3231099904.0
2006-08-02,1598.7581,1608.777,1577.902,1600.8719,2786599936.0
2006-08-03,1599.746,1609.425,1587.119,1601.058,2082200064.0
2006-08-04,1601.608,1612.1,1567.251,1570.15,2586700032.0
2006-08-07,1561.801,1570.054,1541.413,1547.436,2409900032.0
2006-08-08,1547.905,1581.7531,1547.905,1580.577,2338299904.0
2006-08-09,1581.803,1585.173,1571.709,1578.566,2163599872.0
2006-08-10,1578.354,1606.943,1577.86,1606.0649,2632300032.0
2006-08-11,1605.597,1610.7629,1596.217,1605.926,2345100032.0
2006-08-14,1605.202,1611.661,1566.722,1570.738,2565499904.0
2006-08-15,1568.267,1596.653,1564.3979,1595.657,2025900032.0
2006-08-16,1596.056,1616.453,1591.8571,1616.41,2856399872.0
2006-08-17,1612.412,1612.412,1592.8459,1603.332,2339200000.0
2006-08-18,1601.567,1614.365,1596.562,1598.0179,2397400064.0
2006-08-21,1565.457,1602.13,1558.1,1601.15,2337400064.0
2006-08-22,1601.5229,1619.074,1598.776,1613.355,2670099968.0
2006-08-23,1614.3929,1621.399,1608.741,1612.396,2721299968.0
2006-08-24,1612.699,1623.1689,1601.887,1623.017,2506099968.0
2006-08-25,1622.481,1630.047,1619.735,1623.0341,2782200064.0
2006-08-28,1627.123,1651.2889,1624.281,1650.438,3934099968.0
2006-08-29,1652.672,1667.53,1649.593,1651.024,4805000192.0
2006-08-30,1648.348,1656.2321,1640.281,1655.1949,3144300032.0
2006-08-31,1655.903,1661.473,1649.9969,1658.6379,3513499904.0
2006-09-01,1658.66,1660.5179,1634.026,1636.691,3595500032.0
2006-09-04,1635.332,1657.691,1635.1219,1657.52,3309299968.0
2006-09-05,1659.7371,1669.901,1657.047,1664.078,4053299968.0
2006-09-06,1665.13,1672.26,1656.863,1672.121,3358000128.0
2006-09-07,1683.782,1683.89,1655.408,1661.1899,3152300032.0
2006-09-08,1659.702,1671.308,1658.673,1667.984,2655200000.0
2006-09-11,1674.9659,1674.9659,1674.9659,1674.9659,3059099904.0
2006-09-12,1675.198,1699.585,1673.441,1695.8621,3739000064.0
2006-09-13,1695.351,1713.989,1687.049,1689.389,4304600064.0
2006-09-14,1689.631,1696.6219,1672.884,1689.692,3388800000.0
2006-09-15,1689.605,1722.66,1689.51,1721.045,4703200256.0
2006-09-18,1727.915,1733.413,1719.16,1732.9871,4483999744.0
2006-09-19,1735.301,1743.021,1728.2889,1735.241,4345500160.0
2006-09-20,1733.637,1737.734,1720.835,1732.453,3883699968.0
2006-09-21,1731.585,1743.63,1731.222,1740.901,3953299968.0
2006-09-22,1744.605,1746.615,1724.104,1725.361,4477799936.0
2006-09-25,1722.744,1732.2791,1709.771,1722.366,4016800000.0
2006-09-26,1720.781,1721.584,1704.774,1712.637,3313499904.0
2006-09-27,1711.514,1725.501,1709.766,1725.0389,2924699904.0
2006-09-28,1725.515,1740.787,1722.219,1736.963,3398000128.0
2006-09-29,1740.059,1755.691,1740.059,1752.424,4123599872.0
2006-10-02,1752.424,1752.424,1752.424,1752.424,0.0
2006-10-04,1752.424,1752.424,1752.424,1752.424,0.0
2006-10-09,1768.144,1786.11,1763.111,1785.385,5293499904.0
2006-10-10,1784.22,1793.141,1771.856,1784.8621,5513600000.0
2006-10-11,1784.5179,1792.761,1771.016,1790.104,4928399872.0
2006-10-12,1790.631,1792.239,1774.142,1778.181,5316899840.0
2006-10-13,1776.511,1792.868,1773.233,1784.656,4254000128.0
2006-10-16,1787.7,1789.175,1766.308,1771.299,4676599808.0
2006-10-17,1768.6281,1777.598,1758.311,1763.901,3926200064.0
2006-10-18,1762.4041,1787.743,1760.8831,1787.1851,3681100032.0
2006-10-19,1788.582,1799.2939,1784.345,1792.2531,4149100032.0
2006-10-20,1792.6,1801.334,1786.344,1790.364,4146200064.0
2006-10-23,1789.645,1797.427,1753.494,1759.394,4444100096.0
2006-10-24,1756.457,1805.2729,1756.457,1805.181,3991099904.0
2006-10-25,1807.03,1825.609,1789.905,1806.646,4451200000.0
2006-10-26,1804.8929,1816.762,1791.947,1810.646,4873699840.0
2006-10-27,1836.214,1842.73,1803.215,1807.175,7374900224.0
2006-10-30,1811.469,1839.318,1811.469,1837.993,4533600256.0
2006-10-31,1838.6801,1855.887,1833.201,1855.713,4655699968.0
2006-11-01,1856.921,1857.145,1834.844,1851.314,4778399744.0
2006-11-02,1851.4041,1873.6639,1850.151,1866.3621,5174199808.0
2006-11-03,1851.4,1873.66,1850.15,1866.36,4986100224.0
2006-11-06,1889.5341,1897.41,1862.932,1889.53,4954500096.0
2006-11-07,1885.855,1886.256,1865.223,1866.817,5484899840.0
2006-11-08,1860.954,1899.097,1858.595,1896.4821,3776999936.0
2006-11-09,1896.929,1920.184,1870.96,1883.347,4409600000.0
2006-11-10,1896.9301,1920.1801,1870.96,1883.35,6280900096.0
2006-11-13,1868.173,1888.432,1841.823,1888.239,5001699840.0
2006-11-14,1888.5389,1923.139,1878.6949,1922.9351,4318799872.0
2006-11-15,1930.926,1976.046,1926.724,1941.547,4668199936.0
2006-11-16,1934.637,1972.6071,1925.149,1971.793,6398400000.0
2006-11-17,1934.64,1972.61,1925.15,1971.79,4941899776.0
2006-11-20,2013.067,2037.738,1988.926,2037.552,5914699776.0
2006-11-21,2031.297,2062.804,2010.792,2041.355,5389400064.0
2006-11-22,2045.0811,2071.2351,2042.151,2062.363,6488200192.0
2006-11-23,2051.4709,2057.9109,2022.625,2050.812,6072200192.0
2006-11-24,2051.47,2057.9099,2022.63,2050.8101,6123200000.0
2006-11-27,2042.379,2051.49,2016.473,2038.7209,5784000000.0
2006-11-28,2005.9871,2059.728,1992.538,2054.0911,5507100160.0
2006-11-29,2058.77,2102.0569,2058.77,2099.2891,5600200192.0
2006-11-30,2106.2949,2112.5759,2087.6011,2102.0491,7278000128.0
2006-12-01,2106.3,2112.5801,2087.6001,2102.05,7617900032.0
2006-12-04,2167.363,2195.5291,2159.323,2173.2849,8723300352.0
2006-12-05,2156.604,2156.604,2156.604,2156.604,8815699968.0
2006-12-06,2156.75,2156.75,2156.75,2156.75,10434799616.0
2006-12-07,2133.355,2164.021,2090.4031,2093.6379,9927900160.0
2006-12-08,2133.3601,2164.02,2090.3999,2093.6399,8088999936.0
2006-12-11,2189.6941,2228.6431,2180.3701,2218.9509,6267599872.0
2006-12-12,2224.429,2244.407,2195.6389,2223.4551,7019200000.0
2006-12-13,2226.001,2250.321,2212.905,2249.1101,5749300224.0
2006-12-14,2255.24,2275.49,2241.199,2273.908,5843899904.0
2006-12-15,2255.24,2275.49,2241.2,2273.9099,6061199872.0
2006-12-18,2342.1799,2381.634,2315.9851,2364.177,7825200128.0
2006-12-19,2356.262,2381.1321,2332.927,2373.2051,8705500160.0
2006-12-20,2372.4641,2386.824,2339.9089,2342.938,7829899776.0
2006-12-21,2334.2729,2366.6941,2321.9221,2343.668,8318300160.0
