序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1207,300858,科拓生物,17.99,-1.15,-0.21,17758.0,31796366.9,2.2,18.11,17.71,18.02,18.2,2.36,0.93,49.37,2.77,4740277173.0,3447217049.0,-0.17,-0.5,-6.88,-6.79
1210,300536,农尚环境,21.15,-1.17,-0.25,36790.0,77860423.75,3.04,21.55,20.9,21.36,21.4,1.19,1.25,36229.68,9.83,6203044013.0,6202306026.0,0.0,-0.24,0.52,-6.42
1212,300161,华中数控,33.54,-1.18,-0.4,33993.0,114552526.6,1.86,34.13,33.5,33.59,33.94,0.91,2.01,-148.67,4.14,6664294227.0,5660281605.0,-0.33,-0.33,-7.32,-6.57
1213,300693,盛弘股份,31.4,-1.2,-0.38,47776.0,151334453.83,2.36,32.07,31.32,32.01,31.78,1.26,1.93,24.0,6.68,9711822965.0,7773022052.0,-0.06,-0.13,18.36,4.98
1217,300620,光库科技,56.87,-1.22,-0.7,151061.0,873932344.06,3.84,58.89,56.68,57.43,57.57,1.8,6.24,224.1,8.29,13950814220.0,13777440338.0,0.25,-0.46,19.47,25.54
1218,300353,东土科技,10.56,-1.22,-0.13,155595.0,164717950.95,2.34,10.72,10.47,10.53,10.69,1.62,2.98,-31.31,3.8,6493268823.0,5514458896.0,0.0,-0.28,5.81,9.09
1223,300503,昊志机电,16.61,-1.25,-0.21,86830.0,144922689.0,1.9,16.87,16.55,16.65,16.82,0.87,4.12,-127.31,3.96,5083869806.0,3499390349.0,-0.06,-0.18,-6.0,-10.55
1226,300926,博俊科技,27.63,-1.25,-0.35,20166.0,56233437.48,2.47,28.29,27.6,28.02,27.98,1.26,0.79,31.82,5.35,7704060190.0,7068862516.0,-0.32,-0.32,-5.34,-5.8
1228,301155,海力风电,52.89,-1.27,-0.68,10030.0,53568170.6,2.2,53.98,52.8,53.7,53.57,0.65,1.13,132.56,2.05,11497835271.0,4697122925.0,-0.32,-0.09,-4.87,-10.58
1229,300129,泰胜风能,8.55,-1.27,-0.11,92048.0,79175808.11,1.96,8.7,8.53,8.66,8.66,0.73,1.42,25.39,1.89,7993388434.0,5546967913.0,0.0,-0.12,-7.47,-20.61
1230,301559,中集环科,16.89,-1.29,-0.22,16781.0,28419334.22,1.34,17.08,16.85,17.08,17.11,2.5,1.99,17.01,2.17,10134000000.0,1427313400.0,-0.06,-0.06,-8.8,-10.45
1233,300990,同飞股份,39.29,-1.31,-0.52,16590.0,65744568.1,2.69,40.28,39.21,39.64,39.81,1.24,3.94,35.24,3.87,6619579200.0,1654894800.0,-0.13,-0.05,-5.28,-11.73
