序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1334,300866,安克创新,83.1,-2.61,-2.23,10686.0,89721666.0,3.4,85.76,82.86,85.23,85.33,1.6,0.48,20.88,4.46,33774100902.0,18530823089.0,0.04,-0.01,-3.48,-6.21
1336,300389,艾比森,18.25,-2.67,-0.5,41369.0,76345359.83,4.96,19.04,18.11,18.66,18.75,2.76,1.8,20.58,4.59,6640333146.0,4189889604.0,-0.44,-0.44,25.43,5.25
1338,300408,三环集团,25.95,-2.7,-0.72,76978.0,202738916.1,4.46,27.09,25.9,26.78,26.67,2.19,0.42,32.66,2.8,49733106777.0,47849083710.0,-0.04,0.04,-10.76,-11.88
1340,300570,太辰光,43.56,-2.72,-1.22,146516.0,650833852.32,4.13,45.25,43.4,44.44,44.78,1.8,7.57,71.68,7.5,10018660608.0,8434276686.0,-0.09,-0.02,10.95,11.55
1341,301236,软通动力,51.74,-2.74,-1.46,350499.0,1843382116.44,3.55,53.55,51.66,52.6,53.2,1.34,5.15,104.96,4.77,49305176498.0,35199518227.0,-0.75,-0.96,25.31,11.99
1344,301183,东田微,56.74,-2.94,-1.72,65069.0,373826991.87,5.46,59.2,56.01,58.46,58.46,1.05,14.12,-236.57,5.56,4539200000.0,2615033120.0,-0.46,-0.61,31.71,32.14
1345,301488,豪恩汽电,55.26,-2.97,-1.69,14471.0,80410269.64,2.35,56.35,55.01,55.51,56.95,1.13,6.85,55.15,4.21,5083920000.0,1168137824.0,-0.31,-0.11,-21.28,-20.65
1349,300430,诚益通,18.27,-3.44,-0.65,50702.0,92969004.34,2.85,18.7,18.16,18.5,18.92,1.07,1.96,29.32,2.38,4991073434.0,4725423304.0,-0.6,-0.11,28.48,27.85
1350,300896,爱美客,340.66,-3.47,-12.25,24186.0,830592667.38,4.35,354.0,338.64,353.0,352.91,2.64,1.62,39.66,11.61,73705197600.0,50838789244.0,-0.27,-0.45,21.87,15.74
1357,301285,鸿日达,25.15,-4.01,-1.05,29068.0,73516701.0,4.24,26.11,25.0,25.93,26.2,1.07,3.76,159.55,4.89,5197750500.0,1941826671.0,-0.12,-0.2,69.36,57.38
1358,300466,赛摩智能,10.1,-4.08,-0.43,299335.0,305248644.97,5.13,10.5,9.96,10.4,10.53,1.25,7.13,394.15,6.15,5408852071.0,4241861196.0,-0.49,-0.1,30.49,40.67
1360,300496,中科创达,63.23,-4.25,-2.81,207533.0,1312753753.54,3.23,64.13,62.0,63.49,66.04,2.64,5.66,62.39,3.04,29086324430.0,23193457696.0,-0.09,-0.14,-23.25,-21.02
1362,300354,东华测试,45.02,-4.82,-2.28,36995.0,165330212.22,4.69,45.88,43.66,44.94,47.3,3.27,4.63,56.73,9.36,6227175449.0,3600095522.0,-0.16,-0.18,-9.91,-9.36
1363,300280,紫天科技,39.7,-5.02,-2.1,88268.0,362100848.16,7.58,42.18,39.01,41.38,41.8,2.23,5.5,23.47,2.43,6434010037.0,6370824509.0,-0.48,-1.19,-16.17,-7.09
1364,300398,飞凯材料,13.55,-5.11,-0.73,275429.0,374338855.48,4.9,13.85,13.15,13.41,14.28,3.64,5.24,25.54,1.9,7163297323.0,7119155854.0,-0.44,-0.29,-13.64,-14.02
1367,301202,朗威股份,40.6,-6.45,-2.8,74065.0,305842508.63,4.93,42.35,40.21,42.35,43.4,1.26,21.72,95.55,4.54,5537840000.0,1384460000.0,-0.05,0.07,26.17,26.36
1368,301246,宏源药业,20.09,-10.23,-2.29,169727.0,331423085.62,5.76,20.2,18.91,19.0,22.38,45.52,11.43,62.59,1.84,8036136612.0,2983394412.0,0.0,-0.05,-22.13,-22.67
